CUI	UMLS_PREF	INCORRECT
C1148593	galectin activity	galectin
C1305746	entire mucous membrane of nose	mucosa nasal
C0277785	functional disorder	functional disorders
C1279115	entire lesser trochanter of femur	lesser trochanter
C0036572	seizures	fitting
C1279096	entire first rib	first rib
C0243125	degradation	degradation
C1268970	entire external auditory canal	external auditory canal
C0014508	epidemiologic	epidemiologic
C1282889	entire embryonic disc	embryonic disc
C0039070	syncope	fall out
C1280976	entire dorsal scapular nerve	dorsal scapular nerve
C0243083	associated disease	associated diseases
C1148554	determination aspects	determination
C1305910	entire vagus nerve	cranial nerve x
C1289267	entire corneal epithelium	corneal epithelium
C1305922	entire bowman's layer (body structure)	corneal epithelium
C0243066	atresia	congenital atresia
C1278837	entire cervical spinal cord	cervical spinal cord
C0161689	toxic effect of carbon disulfide	carbon disulfide
C1280085	entire inguinal canal	canal inguinal
C1254044	entire surface region of knee (body structure)	knee region
C1269059	entire base of skull	base of skull
C1282656	entire appendicular skeleton	appendicular skeleton
C0458949	entire appendix epiploica (body structure)	appendices epiploicae
C0523498	angiotensin i assay	angiotensin i
C1280336	entire anal canal	anal canal
C0728866	drug effects	drugs effect
C0521026	viral	viruse
C0220888	increasing incidence	outbreaks
C0042776	virus	vira
C1280357	entire uterosacral ligament	uterosacral ligament
C1268986	entire trochlear nerve	trochlear nerve
C1269063	entire triangular bone	triquetral
C0282690	toxicokinetic	toxicokinetics
C1279869	entire tendon of toe	tendons toe
C1278782	entire thyroid capsule	thyroid capsule
C1150506	thymidine kinase activity	thymidine kinase
C1267145	entire tendon of thumb	thumb tendon
C1280078	entire thoracic cavity	cavity thoracic
C1268999	entire large intestine	intestine large
C1304985	entire teres major muscle	teres major
C1305905	entire tensor tympani muscle	tensor tympani
C1275494	entire temporalis muscle	temporalis muscle
C0557651	room of building - study	studying
C0947630	scientific study	studying
C1281120	entire helix of ear	ear helix
C1280015	entire left ankle	ankle left
C1279082	entire surgical neck of humerus	surgical neck of humerus
C1282851	entire superficial vein	superficial vein
C0481191	stimulant laxatives causing adverse effects in therapeutic use	stimulant laxatives
C0496994	poisoning by stimulant laxatives	stimulant laxatives
C1278937	entire ophthalmic artery	artery ophthalmic
C1304940	entire splenius capitis muscle	splenius capitis
C1281240	entire sphenopalatine ganglion	sphenopalatine ganglion
C1153540	snap receptor activity	snare
C1269586	entire cochlear window	round window
C0034571	roentgenographic	roentgenography
C0033910	psychological aspects	psychological aspect
C1269014	entire posterior communicating artery	posterior communicating artery
C1269013	entire posterior cerebral artery	posterior cerebral artery
C1153197	porter activity	porter
C1304972	entire platysma muscle	platysma
C1278917	entire salivary gland	gland salivary
C0031847	physiopathological	physiopathology
C0871208	rating	physical therapy techniques
C1280739	entire penis	peni
C1281348	entire pelvic cavity	pelvic cavity
C1305025	entire pectoralis minor muscle	pectoralis minor
C1269621	entire auditory vesicle	otic vesicle
C1149142	opioid receptor activity	opioid receptor
C1305914	entire yolk stalk	omphalomesenteric duct
C1280238	entire ninth rib	ninth rib
C1280875	entire vein of neck	neck vein
C1279997	entire metatarsal joint	metatarsal joint
C1281199	entire mental nerve	mental nerve
C1151743	acyl-coa dehydrogenase activity	acyl-coa dehydrogenase
C1281215	entire maxillary nerve	maxillary nerve
C1281326	entire lumbar lymph node	lumbar lymph node
C1280351	entire lower uterine segment	lower uterine segment
C1151586	lipoxygenase activity	lipoxygenase
C1151532	lactoperoxidase activity	lactoperoxidase
C1279110	entire ischial spine	ischial spine
C1269872	entire intercostal space	intercostal space
C1280391	entire papilla incisiva of mouth	incisive papilla
C1150445	hexokinase activity	hexokinase
C1280969	entire hesselbach's triangle	hesselbach's triangle
C1149532	hemolysin activity	hemolysin
C0243097	financing characteristics	financing
C1305051	entire gluteus minimus muscle	gluteus minimus
C1152799	glutamate receptor activity	glutamate receptor
C1304993	entire flexor carpi ulnaris	flexor carpi ulnaris
C1278964	entire facial vein	facial veins
C1289286	entire retina of both eyes	eye retina
C1305069	entire extensor hallucis longus muscle	extensor hallucis longus
C0243102	enzyme activity	activities enzyme
C1305733	entire endocrine gland	endocrine organs
C1281796	entire atrioventricular canal cushion	endocardial cushion
C0740177	encounter due to elderly primigravida	elderly primigravida
C1279014	entire skin of elbow	elbow skin
C0728866	drug effects	drug effect
C1152730	dopamine receptor activity	dopamine receptor
C1281026	entire dentate gyrus	dentate gyrus
C1151057	cytochrome c oxidase activity	cytochrome c oxidase
C0447596	entire corpus cavernosum (body structure)	corpus cavernosum
C1152941	conotoxin activity	conotoxin
C1289511	entire cingulum	cingulum
C0459737	entire ciliary epithelium (body structure)	ciliary epithelium
C1280704	entire choroid plexus	choroids plexus
C0243178	chemical properties	chemical properties
C1150132	caspase-3 activity	caspase-3
C1305533	entire cervical disc (body structure)	disc cervical
C1304946	entire buccinator muscle	buccinator
C1280389	entire lower lip	lower lip
C1279650	entire ball of foot	ball foot
C1278939	entire axillary artery	axillary artery
C1305144	entire auricular appendage	atrial appendage
C0161641	poisoning by antipruritics	antipruritics
C0261915	adverse reaction to antipruritics	antipruritics
C1280611	entire anterior mediastinum	anterior mediastinum
C0815317	alcohol misuse prevention study	amps
C1318149	entire alveolar ridge	alveolar ridge
C1152556	alpha-amylase inhibitor activity	alpha-amylase inhibitor
C1282727	entire yellow bone marrow	yellow bone marrow
C0034571	roentgenographic	images x ray
C1282854	entire venule	venule
C0042153	utilization	use of
C1152564	kinase inhibitor activity	kinase inhibitor
C0030193	pain	pain type
C1305328	entire triceps surae muscle	triceps surae
C0040833	trends	trend
C1152855	transferrin receptor activity	transferrin receptor
C1148759	transcription factor activity	transcription factor
C1267145	entire tendon of thumb	tendons thumb
C1279029	entire nail of thumb	thumbnails
C1268978	entire temporal lobe	temporal lobes
C0220924	teaching aspects	teach
C1280173	entire femoral artery	artery femoral
C1289559	entire suprachiasmatic nucleus	suprachiasmatic nucleus
C0448435	entire muscle of upper arm (body structure)	muscle arm
C0224132	entire superior oblique	superior oblique
C0220924	teaching aspects	teachings
C1282841	entire small blood vessel (organ) (body structure)	small vessels
C0448899	entire skin of knee	knee skinned
C0374711	repair - action	repairs
C1282849	entire sinus venosus of fetus	sinus venosus
C1152593	serpin activity	serpin
C0220911	serological aspects	serologies
C0260955	encounter due to screening for hypertension	screening for hypertension
C0034571	roentgenographic	x-ray diagnosis
C1281954	entire right frontal lobe	right frontal lobe
C0557651	room of building - study	studied
C0947630	scientific study	studied
C0028708	nutrition assessment	assessment nutrition
C0243154	psychiatric aspects	psychiatric aspects
C0033107	prevention & control	preventive therapy
C0448170	entire iliac spine (body structure)	iliac spine
C0243072	derivatives	derivatives
C0013217	pharmacotherapeutic	pharmacotherapeutic
C0205464	pharmacological	pharmacologic
C1281177	entire penile vein	penile veins
C1288871	entire skin of all fingers	fingers skin
C1289558	entire paraventricular nucleus	paraventricular nucleus
C0030193	pain	pain types
C1268255	entire right upper arm	arm right upper
C1278992	entire ovary	ovarys
C1269054	entire os calcis	os calcis
C1304965	entire omohyoid muscle	omohyoid
C1305767	entire oculomotor nerve	oculomotor nerve
C1280190	entire vena cava	cava vena
C1283788	entire spinal nerve	nerve spinal
C0448438	entire muscle of forearm (body structure)	forearm muscle
C0043047	water	watering
C0222609	entire gland of montgomery (body structure)	montgomery's gland
C0026131	milk	milking
C0886496	encounter due to fertility testing	fertility testing
C1280367	entire lobe of lung	lung lobe
C1305449	entire transverse process of lumbar vertebra	lumbar transverse process
C0243083	associated disease	disease associated
C1305766	entire outflow tract of left ventricle (body structure)	left ventricular outflow tract
C0457113	entire left auricular appendage (body structure)	left atrial appendage
C0447550	entire intrahepatic duct (body structure)	intrahepatic duct
C1305719	entire innominate bone	innominate bone
C0994454	home care aspects	care home
C1279035	entire chest wall	chest walls
C1305384	entire carotid artery	artery carotid
C0205462	histologic	histological
C1269888	entire hepatic artery proper	hepatic artery proper
C0458948	entire colonic haustra (body structure)	haustra
C1280939	entire great cardiac vein	great cardiac vein
C0220842	government regulatory aspects	government regulations
C1151821	glutamate dehydrogenase activity	glutamate dehydrogenase
C1149895	glucose-6-phosphatase activity	glucose-6-phosphatase
C1148777	glucocorticoid receptor activity	glucocorticoid receptor
C1150051	galactosidase activity	galactosidase
C0243132	occurrence	occurrence
C0448438	entire muscle of forearm (body structure)	forearm muscles
C0224472	entire flexor digitorum longus (body structure)	flexor digitorum longus
C1288876	entire tendon of finger	finger tendons
C1305386	entire external carotid artery	external carotid artery
C1305000	entire extensor carpi ulnaris	extensor carpi ulnaris
C1282662	entire esophageal lumen	esophageal lumen
C1152029	transketolase activity	transketolase
C1281298	entire endocervical gland	endocervical glands
C0013443	ear	earring
C0521421	entire ear	earring
C1305734	entire facial nerve	cranial nerve vii
C1269902	entire costal cartilage	costal cartilage
C0458704	entire corpus spongiosum (body structure)	corpus spongiosum
C0220818	congenital deformities	congenital deformities
C0028678	nursing therapy	therapy nursing
C1281305	entire lamina choroidocapillaris	choriocapillaris
C1321524	entire carpometacarpal joint (body structure)	carpometacarpal joint
C0220921	survival aspects	survivals
C1280209	entire joint of thumb	joint thumb
C1289270	entire conjunctiva of both eyes	conjunctiva eye
C0723460	stress bismuth subsalicylate	stressing
C0458432	entire muscularis of urinary bladder (body structure)	bladder muscles
C1278968	entire axillary vein	axillary vein
C0521026	viral	virals
C1148774	androgen receptor activity	androgen receptor
C0001555	administration & dosage	administration dosage
C1289329	entire agger nasi	agger nasi
C1279139	entire wrist joint	wrist joint
C0018271	growth & development	development growth
C1288602	entire wharton's jelly	wharton's jelly
C1269000	entire appendix	vermiform appendix
C1282445	entire vein of hand	hand veins
C1280357	entire uterosacral ligament	ligaments uterosacral
C0042037	in urine	urines
C1269587	entire superior pole of kidney	upper pole of kidney
C1152681	tumor necrosis factor receptor activity	tumor necrosis factor receptor
C1305534	entire transverse process of vertebra (body structure)	processes transverse
C0229960	entire body as a whole (body structure)	total body
C1305631	entire anterior tibial muscle tendon	tibialis anterior tendon
C1148779	thyroid hormone receptor activity	thyroid hormone receptor
C1278981	entire testis	testi
C1305378	entire achilles tendon	tendon achilles
C1267115	entire synchondrosis	synchondrosis
C0004927	behavior	conducted
C1305431	entire lumbar disc (body structure)	disc lumbar
C1289388	entire spiral ganglion	spiral ganglion
C0311392	physical findings	signed
C0034526	aspects of radiation effects	effects radiation
C1269887	entire right subclavian artery	right subclavian artery
C1288639	entire right shoulder region	right shoulder
C0496523	adverse effects in the therapeutic use of rifamycins	rifamycins
C0496961	poisoning by rifamycins	rifamycins
